Creation Date,Status,Completion Date,Service Request Number,Type of Service Request,Number of Black Carts Delivered,Current Activity,Most Recent Action,Street Address,ZIP Code,X Coordinate,Y Coordinate,Ward,Police District,Community Area,SSA,Latitude,Longitude,Location,LoadWeight,LoadCapacity,Note
5/10/2017,Open,,17-02927964,Garbage Cart Black Maintenance/Replacement,,,,13052 S BRANDON AVE,60633,1199430.979,1819033.174,10,4,55,,41.65760094,-87.54604825,"(41.65760093847327, -87.54604825109838)",19,50,FALSE
5/10/2017,Open,,17-02931270,Garbage Cart Black Maintenance/Replacement,,,,614 W 129TH PL,60628,1174539.934,1818805.358,9,5,53,,41.65830499,-87.63706849,"(41.658304991101154, -87.63706848590708)",16,50,FALSE
5/10/2017,Completed - Dup,5/18/2017,17-02935613,Garbage Cart Black Maintenance/Replacement,,,,12909 S UNION AVE,60628,1174011.649,1819237.4,9,5,53,,41.65921719,-87.63873987,"(41.659217194727454, -87.63873987426828)",65,50,TRUE
5/10/2017,Completed - Dup,8/2/2017,17-02945570,Garbage Cart Black Maintenance/Replacement,,,,11924 S WENTWORTH AVE,60628,1177084.577,1825873.96,9,5,53,,41.67720041,-87.62759052,"(41.67720041468105, -87.6275905211471)",15,50,FALSE
5/10/2017,Completed - Dup,5/18/2017,17-02932141,Garbage Cart Black Maintenance/Replacement,,,,11821 S STATE ST,60628,1178377.545,1826504.08,9,5,53,,41.67912084,-87.62254854,"(41.6791208427696, -87.62254854466298)",30,50,FALSE
5/10/2017,Completed,10/17/2017,17-02942882,Garbage Cart Black Maintenance/Replacement,0,Dispatch Crew,Area inspected- cart(s) were on site in working condition,3412 W 115TH PL,60655,1155699.657,1827800.97,19,22,74,,41.68337877,-87.70595701,"(41.683378770994466, -87.70595700598325)",33,50,FALSE
5/10/2017,Completed,10/17/2017,17-02935481,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,11313 S ST LOUIS AVE,60655,1155046.918,1829364.02,19,22,74,,41.68734084,-87.70786475,"(41.68734083725986, -87.7078647467693)",65,50,TRUE
5/10/2017,Completed,5/10/2017,17-02936682,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,11222 S PARNELL AVE,60628,1174638.29,1830473.685,34,22,49,,41.68989721,-87.63640443,"(41.68989720527584, -87.63640443448975)",8,50,TRUE
5/10/2017,Completed,10/17/2017,17-02941679,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,10953 S TRUMBULL AVE,60655,1155289.892,1831760.782,19,22,74,,41.69356358,-87.70690105,"(41.693563584873814, -87.70690105260375)",12,50,TRUE
5/10/2017,Completed,6/1/2017,17-02940223,Garbage Cart Black Maintenance/Replacement,1,Dispatch Crew,Cart Approved - Delivered,11011 S MORGAN ST,60643,1171616.818,1831757.66,34,22,75,,41.6938038,-87.6471442,"(41.69380380372298, -87.64714419976684)",26,50,TRUE
